2025-10-16 16:27:36 | INFO     | EmbeddingGenerator | ============================================================
2025-10-16 16:27:36 | INFO     | EmbeddingGenerator | 🚀 Starting Embedding Generation System
2025-10-16 16:27:36 | INFO     | EmbeddingGenerator | ============================================================
2025-10-16 16:27:36 | INFO     | EmbeddingGenerator | 🔄 Loading model: sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2 (Attempt 1/3)
2025-10-16 16:27:39 | INFO     | EmbeddingGenerator | 📥 Downloading model for the first time...
2025-10-16 16:27:39 | INFO     | EmbeddingGenerator | ⚠️ This may take several minutes...
2025-10-16 16:28:09 | WARNING  | EmbeddingGenerator | ⚠️ Model loading failed: HTTPSConnectionPool(host='cas-bridge.xethub.hf.co', port=443): Read timed out.
2025-10-16 16:28:09 | INFO     | EmbeddingGenerator | ⏳ Retrying in 5 seconds...
2025-10-16 16:28:14 | INFO     | EmbeddingGenerator | 🔄 Loading model: sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2 (Attempt 2/3)
2025-10-16 16:28:14 | INFO     | EmbeddingGenerator | 📦 Using cached model...
2025-10-16 16:28:14 | WARNING  | sentence_transformers.SentenceTransformer | No sentence-transformers model found with name C:\Users\h.izadi\.cache\sentence_transformers\sentence-transformers_paraphrase-multilingual-MiniLM-L12-v2. Creating a new one with MEAN pooling.
2025-10-16 16:28:14 | WARNING  | EmbeddingGenerator | ⚠️ Model loading failed: Error no file named pytorch_model.bin, tf_model.h5, model.ckpt.index or flax_model.msgpack found in directory C:\Users\h.izadi\.cache\sentence_transformers\sentence-transformers_paraphrase-multilingual-MiniLM-L12-v2.
2025-10-16 16:28:14 | INFO     | EmbeddingGenerator | ⏳ Retrying in 10 seconds...
2025-10-16 16:28:24 | INFO     | EmbeddingGenerator | 🔄 Loading model: sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2 (Attempt 3/3)
2025-10-16 16:28:24 | INFO     | EmbeddingGenerator | 📦 Using cached model...
2025-10-16 16:28:24 | WARNING  | sentence_transformers.SentenceTransformer | No sentence-transformers model found with name C:\Users\h.izadi\.cache\sentence_transformers\sentence-transformers_paraphrase-multilingual-MiniLM-L12-v2. Creating a new one with MEAN pooling.
2025-10-16 16:28:24 | ERROR    | EmbeddingGenerator | ❌ Failed to load model after 3 attempts: Error no file named pytorch_model.bin, tf_model.h5, model.ckpt.index or flax_model.msgpack found in directory C:\Users\h.izadi\.cache\sentence_transformers\sentence-transformers_paraphrase-multilingual-MiniLM-L12-v2.
